,global_id,Number,Cells
111,2449492692,112,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '23:50', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '00:41', 'global_id': 2449492692}"
112,2449492694,113,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '00:36', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '01:29', 'global_id': 2449492694}"
113,2449492696,114,"{'StationStart': 'Окружная', 'Line': 'В Шереметьево', 'TimeStart': '05:31', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '05:53', 'global_id': 2449492696}"
114,2449492698,115,"{'StationStart': 'Окружная', 'Line': 'В Шереметьево', 'TimeStart': '05:55', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '06:25', 'global_id': 2449492698}"
115,2449492700,116,"{'StationStart': 'Окружная', 'Line': 'В Шереметьево', 'TimeStart': '06:33', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '07:07', 'global_id': 2449492700}"
116,2449492702,117,"{'StationStart': 'Окружная', 'Line': 'В Шереметьево', 'TimeStart': '07:05', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '07:38', 'global_id': 2449492702}"
117,2449492703,118,"{'StationStart': 'Окружная', 'Line': 'В Шереметьево', 'TimeStart': '07:46', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '08:21', 'global_id': 2449492703}"
118,2449492705,119,"{'StationStart': 'Окружная', 'Line': 'В Шереметьево', 'TimeStart': '08:15', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '08:50', 'global_id': 2449492705}"
119,2449492708,120,"{'StationStart': 'Окружная', 'Line': 'В Шереметьево', 'TimeStart': '08:55', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '09:30', 'global_id': 2449492708}"
120,2449492709,121,"{'StationStart': 'Окружная', 'Line': 'В Шереметьево', 'TimeStart': '09:27', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '10:02', 'global_id': 2449492709}"
121,2449492711,122,"{'StationStart': 'Окружная', 'Line': 'В Шереметьево', 'TimeStart': '10:05', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '10:38', 'global_id': 2449492711}"
122,2449492714,123,"{'StationStart': 'Окружная', 'Line': 'В Шереметьево', 'TimeStart': '10:35', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '11:08', 'global_id': 2449492714}"
123,2449492715,124,"{'StationStart': 'Окружная', 'Line': 'В Шереметьево', 'TimeStart': '11:15', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '11:48', 'global_id': 2449492715}"
124,2449492718,125,"{'StationStart': 'Окружная', 'Line': 'В Шереметьево', 'TimeStart': '11:44', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '12:17', 'global_id': 2449492718}"
125,2449492719,126,"{'StationStart': 'Окружная', 'Line': 'В Шереметьево', 'TimeStart': '12:25', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '12:57', 'global_id': 2449492719}"
126,2449492722,127,"{'StationStart': 'Окружная', 'Line': 'В Шереметьево', 'TimeStart': '12:55', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '13:27', 'global_id': 2449492722}"
127,2449492723,128,"{'StationStart': 'Окружная', 'Line': 'В Шереметьево', 'TimeStart': '13:35', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '14:07', 'global_id': 2449492723}"
128,2449492725,129,"{'StationStart': 'Окружная', 'Line': 'В Шереметьево', 'TimeStart': '14:05', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '14:37', 'global_id': 2449492725}"
129,2449492728,130,"{'StationStart': 'Окружная', 'Line': 'В Шереметьево', 'TimeStart': '14:45', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '15:17', 'global_id': 2449492728}"
130,2449492729,131,"{'StationStart': 'Окружная', 'Line': 'В Шереметьево', 'TimeStart': '15:15', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '15:48', 'global_id': 2449492729}"
